Fund,Trust,Joint,Kate
MPC,11148,10246,10340
MPD,16457,0,15869
MPB,16132,16220,16213
MPA,0,0,21948
MPG,19566,18527,21426
MPT,22099,18537,22546
MPY,21510,18639,21610
,106913,82170,129951
