Fund,%,Start,Finish,Units,Div,Profit
MPC,10.00%,1.1085,1.1231,11348,85.11,250.79
MPD,15.00%,1.6571,1.6916,11236,179.78,567.42
MPB,15.00%,2.1389,2.1818,8653,0.00,371.21
MPA,20.00%,3.4508,3.5010,7071,0.00,354.96
MPY,20.00%,1.7753,1.7522,13409,0.00,-309.75
MPT,20.00%,2.5571,2.6986,9333,0.00,1320.62
,100.00%,,,,,2555.26
