Fund,Trust,Joint,Kate
MPC,24948,10043,10134
MPD,36911,0,15373
MPB,37810,15771,15763
MPA,0,0,21253
MPG,52145,18253,21109
MPT,52130,17639,21454
MPY,50897,17855,20701
,254841,79560,125786
