Fund,Points
APA,4
EMF,5
EUF,4
FNZ,5
OZY,5
TNZ,5
TWF,4
USF,4
USG,4
USV,4
MDZ,3
MZY,4
USM,2
USS,3
NZB,0
NZC,0
GBF,0
ASD,2
DIV,0
ASF,3
ASP,3
ASR,4
NPF,2
AIF O,2
AIF G,3
AIF EM,3
AIF CI,3
AIF HI,2
AIF I,3
AIF R,3
AIF E,1
AIF RE,3
MPB,5
MPG,3
MPT,3
MPY,2
MPA,5
FPP,3
FPZ,2
FPA,2
FPG,5
NPE,4
NPC,3
NPH,2
NPU,3
VHF,3
VIF,3
