Fund,%,Start,Finish,Units,Div,Profit
MPC,10.00%,1.1138,1.1231,11348,170.22,275.76
MPD,10.00%,1.6874,1.6916,7491,239.70,271.16
MPB,10.00%,2.1911,2.1818,5769,0.00,-53.65
MPG,17.50%,1.5527,1.5030,14246,0.00,-708.02
MPA,17.50%,3.5749,3.5010,6187,0.00,-457.25
MPY,17.50%,1.8852,1.7522,11733,0.00,-1560.52
MPT,17.50%,2.7087,2.6986,8166,122.49,40.01
,,,,,,-2192.50
