Date,Total,MTH AVG,Sharesies
19/06/19,941,,941
20/06/19,937,(0.43%),937
21/06/19,947,0.67%,947
24/06/19,949,0.81%,949
25/06/19,947,0.65%,947
26/06/19,946,0.48%,946
27/06/19,948,0.78%,948
28/06/19,948,0.77%,948
